left,right
ab_000,cr_000
ad_000,cf_000
ad_000,cg_000
ad_000,ch_000
ad_000,co_000
ae_000,af_000
ag_000,ag_001
ag_000,ag_002
ag_000,ag_003
ag_000,ag_004
ag_000,ag_005
ag_000,ag_006
ag_000,ag_007
ag_000,ag_008
ag_000,ag_009
ag_001,ag_002
ag_001,ag_003
ag_001,ag_004
ag_001,ag_005
ag_001,ag_006
ag_001,ag_007
ag_001,ag_008
ag_001,ag_009
ag_002,ag_003
ag_002,ag_004
ag_002,ag_005
ag_002,ag_006
ag_002,ag_007
ag_002,ag_008
ag_002,ag_009
ag_003,ag_004
ag_003,ag_005
ag_003,ag_006
ag_003,ag_007
ag_003,ag_008
ag_003,ag_009
ag_004,ag_005
ag_004,ag_006
ag_004,ag_007
ag_004,ag_008
ag_004,ag_009
ag_005,ag_006
ag_005,ag_007
ag_005,ag_008
ag_005,ag_009
ag_006,ag_007
ag_006,ag_008
ag_006,ag_009
ag_007,ag_008
ag_007,ag_009
ag_008,ag_009
ah_000,bb_000
ai_000,aj_000
ai_000,am_0
ai_000,as_000
ai_000,at_000
ai_000,au_000
aj_000,am_0
aj_000,as_000
aj_000,at_000
aj_000,au_000
al_000,an_000
al_000,ap_000
al_000,bg_000
al_000,bh_000
am_0,as_000
am_0,at_000
am_0,au_000
an_000,ap_000
an_000,bg_000
an_000,bh_000
ao_000,aq_000
ao_000,bi_000
ao_000,bj_000
ap_000,bg_000
ap_000,bh_000
aq_000,bi_000
aq_000,bj_000
ar_000,bz_000
ar_000,cp_000
ar_000,dx_000
ar_000,dy_000
ar_000,dz_000
ar_000,ea_000
ar_000,ef_000
ar_000,eg_000
as_000,at_000
as_000,au_000
at_000,au_000
ay_000,ay_001
ay_000,ay_002
ay_000,ay_003
ay_000,ay_004
ay_000,ay_005
ay_000,ay_006
ay_000,ay_007
ay_000,ay_008
ay_000,ay_009
ay_000,az_000
ay_000,az_001
ay_000,az_002
ay_000,az_003
ay_000,az_004
ay_000,az_005
ay_000,az_006
ay_000,az_007
ay_000,az_008
ay_000,az_009
ay_000,ee_000
ay_000,ee_001
ay_000,ee_002
ay_000,ee_003
ay_000,ee_004
ay_000,ee_005
ay_000,ee_006
ay_000,ee_007
ay_000,ee_008
ay_000,ee_009
ay_001,ay_002
ay_001,ay_003
ay_001,ay_004
ay_001,ay_005
ay_001,ay_006
ay_001,ay_007
ay_001,ay_008
ay_001,ay_009
ay_001,az_000
ay_001,az_001
ay_001,az_002
ay_001,az_003
ay_001,az_004
ay_001,az_005
ay_001,az_006
ay_001,az_007
ay_001,az_008
ay_001,az_009
ay_001,ee_000
