model,fold,cost,recall,precision,auc,auc_pr,TP,FP,FN,TN,threshold,unweighted_threshold,repeat
gradient boosting,1,6030,0.96875,0.3051181102362205,0.9895358845338983,0.885642702438381,155,353,5,9087,0.0011160195572301745,2.234482966617571e-05,0
gradient boosting,2,7850,0.93125,0.3880208333333333,0.9862384136652542,0.849800479288609,149,235,11,9205,0.0027826763689517975,5.58057108271518e-05,0
gradient boosting,3,6090,0.95625,0.3713592233009709,0.9921682997881356,0.8832286425368271,153,259,7,9181,0.0016332382801920176,3.271713177843821e-05,0
gradient boosting,4,6910,0.94375,0.3852040816326531,0.9838420286016949,0.890484724831162,151,241,9,9199,0.0017717378214001656,3.5496388916875125e-05,0
gradient boosting,5,5890,0.96875,0.31376518218623484,0.9913539459745762,0.8816861216938225,155,339,5,9101,0.0011775139719247818,2.3577487002456538e-05,0
gradient boosting,1,4960,0.975,0.34513274336283184,0.9938784427966102,0.902342932410365,156,296,4,9144,0.0012334835482761264,2.469952809785023e-05,1
gradient boosting,2,9100,0.9125,0.4101123595505618,0.9815790519067796,0.8504899289336769,146,210,14,9230,0.0031640143133699894,6.347711190823585e-05,1
gradient boosting,3,8270,0.9375,0.31446540880503143,0.9813334216101695,0.8404321320025954,150,327,10,9113,0.0014816413167864084,2.967591601774784e-05,1
gradient boosting,4,4970,0.95625,0.51,0.9921219544491526,0.9023932459404117,153,147,7,9293,0.0067404769361019135,0.00013570596720523579,1
gradient boosting,5,8190,0.925,0.4032697547683924,0.9756375794491526,0.8311002738016248,148,219,12,9221,0.0020685852505266666,4.145574465764277e-05,1
gradient boosting,1,5030,0.975,0.33986928104575165,0.9952654925847457,0.9017467825372226,156,303,4,9137,0.0014752158895134926,2.9547034279638027e-05,2
gradient boosting,2,7350,0.9375,0.38961038961038963,0.9876079184322034,0.8821385018132032,150,235,10,9205,0.0027803550474345684,5.575903025186819e-05,2
gradient boosting,3,8170,0.925,0.4054794520547945,0.9768471927966103,0.8786665427023169,148,217,12,9223,0.0028158684726804495,5.64732101630171e-05,2
gradient boosting,4,4060,0.975,0.430939226519337,0.9952641684322034,0.8835323402029379,156,206,4,9234,0.002719946438446641,5.454431924325875e-05,2
gradient boosting,5,7950,0.9375,0.33707865168539325,0.9792405985169491,0.8502450097497014,150,295,10,9145,0.0019019634928554296,3.8110304576955426e-05,2
gradient boosting,1,7680,0.94375,0.32196162046908317,0.9866505561440677,0.8966723964813975,151,318,9,9122,0.001102008973248303,2.2064007904969215e-05,3
gradient boosting,2,7130,0.95,0.32688172043010755,0.9874251853813559,0.888679166173145,152,313,8,9127,0.0012003021547570825,2.4034314565911992e-05,3
gradient boosting,3,7500,0.9375,0.375,0.9891522113347458,0.8838102897515577,150,250,10,9190,0.002577332081273198,5.167716706159037e-05,3
gradient boosting,4,6060,0.95625,0.3740831295843521,0.9903065413135592,0.8461033555492835,153,256,7,9184,0.0017155869863927364,3.436952435839815e-05,3
gradient boosting,5,6300,0.9625,0.3181818181818182,0.9894676906779661,0.8891150461942855,154,330,6,9110,0.0012606477830559015,2.524414315475916e-05,3
gradient boosting,1,5890,0.9625,0.3476297968397291,0.9912182203389831,0.8860778289775567,154,289,6,9151,0.001328592887148261,2.6606499965439094e-05,4
gradient boosting,2,7290,0.95625,0.287593984962406,0.9873761917372882,0.8763853502067951,153,379,7,9061,0.0008954121149145067,1.792397065194988e-05,4
gradient boosting,3,6460,0.95,0.38190954773869346,0.9894769597457628,0.8893665506039874,152,246,8,9194,0.002462277188897133,4.936466227015115e-05,4
gradient boosting,4,6650,0.94375,0.412568306010929,0.993132282838983,0.9017972586166767,151,215,9,9225,0.003924428019672632,7.879158807107446e-05,4
gradient boosting,5,5690,0.95625,0.4112903225806452,0.9856097722457627,0.8620329235688147,153,219,7,9221,0.0029453153256326914,5.907682639718766e-05,4
gradient boosting,1,6800,0.94375,0.3963254593175853,0.9883322298728814,0.8829511824875105,151,230,9,9210,0.0025111446157097816,5.034679182790821e-05,5
gradient boosting,2,6010,0.95625,0.3787128712871287,0.990258871822034,0.8675064552850725,153,251,7,9189,0.0020471818279474974,4.102594437539364e-05,5
gradient boosting,3,5350,0.975,0.31771894093686354,0.992943591101695,0.8971369781195908,156,335,4,9105,0.0014054772909730673,2.8148316402554604e-05,5
gradient boosting,4,8110,0.93125,0.36341463414634145,0.9828350105932203,0.86047398153808,149,261,11,9179,0.0017527778400108218,3.51158761231276e-05,5
